"filename", "language", "JSON", "JSON with Comments", "Python", "JavaScript", "Markdown", "YAML", "HTML", "Docker", "PostCSS", "XML", "JavaScript JSX", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\facturas.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\garantias.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\server.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\services\Secretaria\diagnosticoService.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\services\Secretaria\equipoService.js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\services\Secretaria\ordenService.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 111
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\services\Tecnico\tecnicoService.js", "JavaScript", 0, 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 301
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\services\flujoAtencionService.js", "JavaScript", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 145
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\services\healthService.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\services\notifications.js", "JavaScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\utils\domainValidation.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\utils\permissions.js", "JavaScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 85
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\utils\roles.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\test-db.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\tests\api\flujoCompleto.test.js", "JavaScript", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 148
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 4, 101
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\docs\manual-secretaria\build_manual_secretaria.py", "Python", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 263
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\docs\manual-secretaria\capturas-meta.json", "JSON", 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 301
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\docs\manual-secretaria\capture-secretaria.mjs", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 90
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\frontend\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\frontend\package-lock.json", "JSON", 4188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4189
